,SHIP,FLAG,SUNK DATE,VESSEL TYPE,ZONA1,ZONA2,ZONA3,ZONA4,COORDINATES,NOTES,IMAGE
54,HMS Wager,,1741,,South America,Chile,,, -47.67861; -75.04917,Ran aground at Wager Island.,//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Lieutenant_Piercy_Brett%27s_sketch_of_HMS_Wager%2C_off_Cape_Virgin_Mary%2C_1741-03-07.png/300px-Lieutenant_Piercy_Brett%27s_sketch_of_HMS_Wager%2C_off_Cape_Virgin_Mary%2C_1741-03-07.png
55,Jesus Maria de la Limpia Concepcion,,1654,,South America,Ecuador,,,,"Spanish treasure ship also known as the Capitana, lost after striking a reef off Chanduy.",
56,Santa Maria de la Consolacion,,1681,,South America,Ecuador,,,,"Spanish treasure ship laden with gold, silver, and precious gems run against a reef by pursuing pirates. Discovered in 1998.",
57,HMS Antelope,,24 May 1982,,South America,Falkland Islands,,, -51.55083; -59.05833﻿ ,A Type 21 frigate that was sunk by Argentine bombers during the Falklands War.,
58,HMS Ardent (F184),,22 May 1982,,South America,Falkland Islands,,, -51.66056; -59.13667﻿ ,A Type 21 frigate that was sunk by Argentine bombers during the Falklands War.,
59,HMS Coventry,,25 May 1982,,South America,Falkland Islands,,, -51.06000; -59.70333﻿ ,A Type 42 destroyer that was sunk by Argentine aircraft during the Falklands War.,
60,SS Imo,,30 November 1921,,South America,Falkland Islands,,,,"A whaling supply ship known for her involvement in the Halifax Explosion, after which she was repaired and ran aground three years later off East Falkland.",
61,ARA Isla de los Estados,,11 May 1982,,South America,Falkland Islands,,, -51.70083; -59.48944﻿ ,A naval supply ship that was sunk by HMS Alacrity during the Falklands War.,
62,Ann Alexander,,20 August 1851,,South America,,,,,An American whaleship that sank after it was rammed by a sperm whale.,
63,MV Jessica,,16 January 2001,,South America,,,,,"An oil tanker that ran aground off Puerto Baquerizo Moreno, causing an oil spill.",
64,Adresito,,March 1990,,South America,Peru,,,,"Capsized in Amazon River, Iquitos, Loreto Maynas, at least 134 people confirmed dead.",
65,La Chachita,,May 1991,,South America,Peru,,,,"Capsized by stormy conditions in Marranon River, at least 150 people confirmed dead.",
66,Covadonga,,13 September 1880,,South America,Peru,,,,A Chilean schooner that was sunk by a mine outside Chancay.,
67,Santa Elena,,March 2008,,South America,Peru,,,,"Capsized in Tepiche River, Loreto, at least fifty people confirmed dead.",
68,Admiral Graf Spee,,17 December 1939,,South America,Uruguay,,, -34.967; -56.283﻿ ,A German battleship scuttled during the Battle of the River Plate.,
69,HMS Agamemnon,,20 June 1809,,South America,Uruguay,,, -34.93306; -54.98111﻿ ,A Royal Navy warship ran aground and sank north of Gorriti Island in Maldonado Bay.,
70,Sesostris,,31 March 1941,,South America,Venezuela,,, 10.48917; -67.94917﻿ ,A German cargo ship torched by her own crew out of fear of being seized by U.S. or local authorities.,
0,USS Admiral W. L. Capps,,16 June 2000,,Pacific Ocean,,,, 23.58361; -159.833389﻿ ,An  Admiral W. S. Benson-class transport that was sunk as a target.,
1,Agano,,15 February 1944,,Pacific Ocean,,,, 10.183; 151.700﻿ ,An  Agano-class cruiser that was torpedoed by USS Skate 160 miles north of Chuuk.,
2,Akagi,,5 June 1942,,Pacific Ocean,,,, 30.500; -178.667﻿ ,An aircraft carrier that was scuttled during the Battle of Midway.,
3,Chūyō,,4 December 1943,,Pacific Ocean,,,, 32.617; 143.650﻿ ,A  Taiyō-class escort carrier that was sunk by USS Sailfish off Hachijō-jima.,
4,SS Constitution,,17 November 1997,,Pacific Ocean,,,,,An ocean liner that sunk under tow 700 nautical miles north of the Hawaiian Islands.,
5,USS Corvina,,16 November 1943,,Pacific Ocean,,,, 5.083; 151.167﻿ ,A  Gato-class submarine that was torpedoed by I-176 south of Chuuk.,
6,USS Gambier Bay,,25 October 1944,,Pacific Ocean,,,, 11.767; 126.150﻿ ,A  Casablanca-class escort carrier that was sunk in the Battle off Samar.,
7,USS Hammann,,6 June 1942,,Pacific Ocean,,,, 30.600; -176.567﻿ ,A  Sims-class destroyer that was torpedoed by I-168 in the Battle of Midway.,
8,Harusame,,8 June 1944,,Pacific Ocean,,,, -0.083; 132.750﻿ ,"A  Shiratsuyu-class destroyer that was sunk by US aircraft 30 miles northwest of Manokwari, New Guinea.",
9,Hayate,,11 December 1941,,Pacific Ocean,,,, 19.167; 166.367﻿ ,A  Kamikaze-class destroyer that was sunk in the Battle of Wake Island.,
10,Japanese submarine I-28,,17 May 1942,,Pacific Ocean,,,, 6.500; 152.000﻿ ,A Type B1 submarine that was torpedoed by USS Tautog south of Chuuk.,
11,Japanese submarine I-165,,27 June 1945,,Pacific Ocean,,,, 15.467; 153.650﻿ ,A Kaidai-type submarine that was sunk by US aircraft.,
12,Japanese submarine I-183,,29 April 1944,,Pacific Ocean,,,, 32.117; -133.050﻿ ,A Kaidai-class submarine that was sunk by USS Pogy.,
13,Ikazuchi,,13 April 1944,,Pacific Ocean,,,, 10.217; 143.850﻿ ,An  Akatsuki-class destroyer that was torpedoed by USS Harder 200 miles southeast of Guam.,
14,K-129,,8 March 1968,,Pacific Ocean,,,,,"A Soviet diesel submarine which carried three nuclear warheads. It was partially recovered from the seabed in 1974 by the CIA's Project Azorian. The USS Halibut allegedly took upwards of 10,000 pictures of the shipwreck. The exact location of the wreck remains an official secret of the United States intelligence services.",
15,Katori,,19 February 1944,,Pacific Ocean,,,, 7.750; 151.333﻿ ,A  Katori-class cruiser that was sunk by USS Iowa off Chuuk.,
16,Kisaragi,,11 December 1941,,Pacific Ocean,,,, 18.917; 166.283﻿ ,A  Mutsuki-class destroyer that was sunk by depth charges 30 miles southwest of Wake Island.,
17,USS Liscome Bay,,24 November 1943,,Pacific Ocean,,,, 2.567; 172.500﻿ ,A  Casablanca-class escort carrier that was torpedoed by I-175 off Makin.,
18,USS LST-563,,21 December 1944,,Pacific Ocean,,,, 10.3074139; -109.2349056﻿ ,An LST-542-class tank landing ship that ran aground on Clipperton Island.,
19,Maikaze,,17 February 1944,,Pacific Ocean,,,, 7.750; 151.333﻿ ,A  Kagero-class destroyer that was sunk by US ships 40 miles northwest of Chuuk.,
20,USS Mars,,15 July 2006,,Pacific Ocean,,,,,A  Mars-class combat stores ship that was sunk 54 nautical miles off Hawaii.,
21,Matagorda,,1969,,Pacific Ocean,,,, 20.133; -158.500﻿ ,A Casco-class United States Coast Guard cutter that was sunk as a target 72 nautical miles off Hawaii.,
22,Matsukaze,,9 June 1944,,Pacific Ocean,,,, 26.983; 143.217﻿ ,"A  Kamikaze-class destroyer that was torpedoed by USS Swordfish 70 miles northeast of Chichi-jima, Japan.",
23,Michel,,17 October 1943,,Pacific Ocean,,,, 33.70000; 140.13333﻿ ,An auxiliary cruiser that was torpedoed by USS Tarpon southeast of Tokyo.,
24,Mikuma,,6 June 1942,,Pacific Ocean,,,, 29.333; 173.500﻿ ,A  Mogami-class cruiser that was sunk by US aircraft.,
25,Naka,,18 February 1944,,Pacific Ocean,,,, 7.250; 151.250﻿ ,A  Sendai-class cruiser that was sunk by US aircraft 35 nautical miles west of Chuuk.,
26,USS Neches,,23 January 1942,,Pacific Ocean,,,, 21.017; -160.100﻿ ,A replenishment oiler that was torpedoed by I-72 about 120 nautical miles west of Pearl Harbor.,
27,USS S-26,,24 January 1942,,Pacific Ocean,,,, 8.217; -79.350﻿ ,An S-class submarine that was accidentally rammed by USS Sturdy in the Gulf of Panama.,
28,Sazanami,,14 January 1944,,Pacific Ocean,,,, 5.250; 141.250﻿ ,A  Fubuki-class destroyer that was torpedoed by USS Albacore 300 nautical miles southeast of Yap.,
29,Shirakumo,,16 March 1944,,Pacific Ocean,,,, 42.417; 144.917﻿ ,"A  Fubuki-class destroyer that was torpedoed by USS Tautog 170 nautical miles east of Muroran, Japan.",
30,Sōryū,,4 June 1942,,Pacific Ocean,,,, 30.633; -179.217﻿ ,A  Sōryū-class aircraft carrier that was sunk by US aircraft in the Battle of Midway.,
31,Suzukaze,,25 January 1944,,Pacific Ocean,,,, 8.850; 157.167﻿ ,A  Shiratsuyu-class destroyer that was torpedoed by USS Skipjack 127 nautical miles northwest of Pohnpei.,
32,Tatsuta Maru,,8 February 1943,,Pacific Ocean,,,, 34.000; 140.000﻿ ,"An ocean liner converted into a troopship that was torpedoed by USS Tarpon 42 miles east of Mikura-jima, Japan.",
33,Two Brothers,,11 February 1823,,Pacific Ocean,,,,,A whaler that ran aground on a reef near the French Frigate Shoals.,
34,USS Walker,,28 December 1941,,Pacific Ocean,,,, 26.583; -143.817﻿ ,A  Wickes-class destroyer that was scuttled northeast of Hawaii.,
35,Yamakaze,,25 June 1942,,Pacific Ocean,,,, 34.567; 140.433﻿ ,"A  Shiratsuyu-class destroyer that was torpedoed by USS Nautilus 60 nautical miles southeast of Yokosuka, Japan.",
36,Yasukuni Maru,,31 January 1944,,Pacific Ocean,,,, 9.250; 147.217﻿ ,A  Terukuni Maru-class ocean liner that was torpedoed by USS Trigger northwest of Chuuk.,
37,USS Yorktown,,7 June 1942,,Pacific Ocean,,,, 30.59972; -176.56778﻿ ,A  Yorktown-class aircraft carrier that was sunk at the Battle of Midway. The wreck was discovered in 1998.,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/USS_Yorktown_%28CV-5%29_Jul1937.jpg/300px-USS_Yorktown_%28CV-5%29_Jul1937.jpg
38,I-24,,11 June 1943,,Pacific Ocean,North Pacific,Bering Sea,, 53.267; 174.400﻿ ,"A Type C submarine that was sunk by USS Larchmont near Shemya, Alaska.",
39,Asashimo,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 31; 128﻿ ,"A  Yūgumo-class destroyer that was sunk by US aircraft 150 miles southwest of Nagasaki, Japan.",
40,USS Bush,,6 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 27.267; 127.800﻿ ,"A  Fletcher-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
41,USS Callaghan,,28 July 1945,,Pacific Ocean,North Pacific,East China Sea,, 25.717; 126.917﻿ ,"A  Fletcher-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
42,USS Colhoun,,6 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 27.267; 127.800﻿ ,"A  Fletcher-class destroyer that was sunk by kamikaze aircraft and USS Cassin Young off Okinawa, Japan.",
43,USS Drexler,,28 May 1945,,Pacific Ocean,North Pacific,East China Sea,, 27.100; 127.633﻿ ,"An  Allen M. Sumner-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
44,Hamakaze,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 30.783; 128.133﻿ ,"A  Kagero-class destroyer that was sunk by US aircraft 150 miles southwest of Nagasaki, Japan.",
45,Isokaze,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 30.46; 128.92﻿ ,"A  Kagero-class destroyer that was sunk by US aircraft 150 miles southwest of Nagasaki, Japan.",
46,Kashino,,4 September 1942,,Pacific Ocean,North Pacific,East China Sea,, 25.750; 122.700﻿ ,"A munition ship that was torpedoed by USS Growler northeast of Taipei, Taiwan.",
47,Kasumi,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,,,"An  Asashio-class destroyer that was attacked by US aircraft and scuttled 150 miles southwest of Nagasaki, Japan.",
48,USS Little,,3 May 1945,,Pacific Ocean,North Pacific,East China Sea,, 26.4; 126.25﻿ ,"A  Fletcher-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
49,USS Mannert L. Abele,,12 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 27.25000; 126.50000﻿ ,"An  Allen M. Sumner-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
50,Miyuki,,29 June 1934,,Pacific Ocean,North Pacific,East China Sea,, 33.000; 125.500﻿ ,A  Fubuki-class destroyer that collided with Inazuma in the Korea Strait.,
51,USS Morrison,,4 May 1945,,Pacific Ocean,North Pacific,East China Sea,, 27.167; 127.967﻿ ,"A  Fletcher-class destroyer that was sunk by kamikaze aircraft off Okinawa, Japan.",
52,Unryū,,19 December 1944,,Pacific Ocean,North Pacific,East China Sea,, 29.983; 124.050﻿ ,A  Unryū-class aircraft carrier that was torpedoed by USS Redfish.,
53,Urakaze,,21 November 1944,,Pacific Ocean,North Pacific,East China Sea,, 26.150; 121.383﻿ ,"A  Kagero-class destroyer that was torpedoed by USS Sealion 65 miles northwest of Keelung, Taiwan.",
54,Yahagi,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 30.783; 128.133﻿ ,"An  Agano-class cruiser that was sunk by US aircraft south of Kyushu, Japan.",
55,Yamato,,7 April 1945,,Pacific Ocean,North Pacific,East China Sea,, 30.367; 128.067﻿ ,"A  Yamato-class battleship that was sunk by US aircraft north of Okinawa, Japan.",
56,Ryou-Un Maru,,5 April 2012,,Pacific Ocean,North Pacific,Gulf of Alaska,,,"A Japanese fishing boat that was swept out to sea by the March 2011 tsunami, and drifted across the Pacific. It was discovered a year later in Canadian waters, and scuttled by Anacapa 180 miles off the coast of Southeast Alaska.",
